Scan_source,Scan_target,X,Y,Z,Rotation_X,Rotation_Y,Rotation_Z
Scan_3_20241031_161927_Transformed.ply,Scan_2_20241031_161927_Transformed.ply,-0.0001521562534490453,-0.004768920039657933,-0.008996560039252173,-1.1293329964534449,-1.0627158731651134,0.13085589439752773
Scan_4_20241031_161927_Transformed.ply,Scan_3_20241031_161927_Transformed.ply,0.0027804774799811264,0.0023675430167491157,-0.0029904591770466816,-0.5147886264019278,-2.0276927736648096,-0.9629876455179942
Scan_5_20241031_161927_Transformed.ply,Scan_4_20241031_161927_Transformed.ply,-0.00795631001541541,0.0008355043562015261,-0.0305976217991307,-2.124961473232745,-2.6921239238280537,2.280223716138558
Scan_6_20241031_161927_Transformed.ply,Scan_5_20241031_161927_Transformed.ply,-0.015511552283219779,0.0012653980405087086,-0.019756335290553474,-2.9794857855458563,-2.0635416008238696,2.0810473106099314
Scan_7_20241031_161927_Transformed.ply,Scan_6_20241031_161927_Transformed.ply,-0.005460778136633599,0.008509051167520284,-0.03332603247224279,-2.2958658497993167,-1.9106648365000252,3.4285060235599145
Scan_8_20241031_161927_Transformed.ply,Scan_7_20241031_161927_Transformed.ply,-0.011293789387927163,0.0022122220816251825,-0.035999921842322945,-2.557584014163977,-1.0811551497646033,3.3382681124271967
Scan_9_20241031_161927_Transformed.ply,Scan_8_20241031_161927_Transformed.ply,-0.013719670683648776,-0.0012375202183211005,-0.0016368117557214875,-2.7595663231984715,-0.2835211204498693,-1.2963157756016153
